GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg Seq in_grs
13.276 -0.335 41.6 0.0073 0.0052 139 1.1845 -0.5 -0.754709580222772 0.6560590289905073 5.367597415123457e-05 2.6608402777777778e-05 0 2860 0
13.275 0.251 18.3 0.0022 0.0012 134 1.9215 -0.5 -0.6946583704589974 0.7193398003386511 4.718549382716049e-06 1.500625e-06 1 2862 0
13.278 0.094 52.8 0.0034 0.0027 181 0.7041 -0.5 -0.9998476951563913 -0.017452406437283192 1.1465748456790122e-05 7.074122299382716e-06 0 2864 0
13.282 0.227 16.9 0.0026 0.002 170 0.7653 -0.5 -0.9848077530122081 0.17364817766693025 6.85421489197531e-06 4.02782600308642e-06 0 2865 0
13.291 0.152 54.1 0.0056 0.0045 235 1.9215 -0.5 -0.5735764363510457 -0.8191520442889921 3.19225e-05 1.9839600694444447e-05 1 2868 0
13.305 -0.408 37.2 0.0045 0.0031 230 1.0432 -0.5 -0.6427876096865396 -0.7660444431189779 2.0025625e-05 9.878798225308642e-06 0 2870 0
13.326 -0.303 40.1 0.0085 0.0034 159 1.832 -0.5 -0.9335804264972016 0.35836794954530066 7.154340277777778e-05 1.1645156250000002e-05 0 2875 0
13.334 0.156 18.9 0.0059 0.0028 184 0.6146 -0.5 -0.9975640502598242 -0.06975647374412527 3.4434076003086416e-05 7.669822530864199e-06 0 2880 0
13.345 0.197 17.7 0.0047 0.003 233 1.1162 -0.5 -0.6018150231520483 -0.7986355100472928 2.2155326003086418e-05 9.108659336419753e-06 0 2882 0
13.35 -0.266 38.9 0.0036 0.0023 186 1.0903 -0.5 -0.9945218953682733 -0.10452846326765348 1.3312363040123456e-05 5.476900077160494e-06 0 2883 0
13.366 0.165 18.7 0.0034 0.0031 134 0.5958 -0.5 -0.6946583704589974 0.7193398003386511 1.1854631558641976e-05 9.852623456790124e-06 0 2886 0
13.379 -0.247 39.6 0.0035 0.0022 127 0.4992 -0.5 -0.601815023152048 0.798635510047293 1.1979290123456792e-05 4.901304012345679e-06 0 2887 0
13.39 -0.253 39.6 0.0013 0.0011 205 1.9215 -0.5 -0.90630778703665 -0.4226182617406993 1.6612345679012346e-06 1.2130574845679013e-06 1 2890 0
13.402 -0.267 18.9 0.0052 0.0028 266 1.135 -0.5 -0.06975647374412558 -0.9975640502598242 2.6852548225308645e-05 7.73921489197531e-06 0 2892 0
13.404 0.113 25.1 0.0044 0.0029 138 1.1256 -0.5 -0.7431448254773944 0.669130606358858 1.9482415123456793e-05 8.170069444444442e-06 0 2893 0
13.406 -0.427 38.7 0.0048 0.0026 168 1.9215 -0.5 -0.9781476007338056 0.20791169081775973 2.348210069444444e-05 6.623474151234568e-06 1 2895 0
13.468 0.179 17.6 0.0039 0.0025 105 0.8053 -0.5 -0.25881904510252063 0.9659258262890683 1.483319637345679e-05 6.375625e-06 0 2900 0
13.797 -0.479 23.6 0.0053 0.0028 194 1.9215 -0.5 -0.9702957262759965 -0.2419218955996675 2.7693906249999998e-05 8.012044753086418e-06 1 2915 0
13.798 0.254 49.5 0.0016 0.0014 265 1.9215 -0.5 -0.08715574274765825 -0.9961946980917455 2.708767361111111e-06 2.050464891975309e-06 1 2916 0
13.84 -0.485 23.5 0.0052 0.0036 192 0.4427 -0.5 -0.9781476007338056 -0.2079116908177595 2.753334104938272e-05 1.283032600308642e-05 0 2917 0
13.845 0.203 46.4 0.0047 0.0029 196 1.9215 -0.5 -0.9612616959383189 -0.275637355816999 2.1985679012345672e-05 8.482656249999998e-06 1 2918 0
13.854 0.185 46.1 0.0036 0.0023 191 1.9215 -0.5 -0.981627183447664 -0.19080899537654475 1.311043402777778e-05 5.431489197530865e-06 1 2920 0
