GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg MSXDC m_MSXDC
27.4900 -0.1580 90.9000 0.0583 0.0467 268 2.3000 -0.5 -0.034899496702500754 -0.9993908270190958 0.003402777777777778 0.002177777777777777 0 G027.49-00.15 0
27.7030 0.7540 7.0000 0.0133 0.0133 262 1.6000 -0.5 -0.13917310096006583 -0.9902680687415703 0.0001777777777777778 0.0001777777777777778 0 G027.70+00.75 0
27.7530 0.1630 79.1000 0.0458 0.0300 123 6.9000 -0.5 -0.5446390350150271 0.838670567945424 0.002100694444444444 0.0009 0 G027.75+00.16 0
27.7750 0.8210 7.3000 0.0400 0.0225 202 2.0000 -0.5 -0.9271838545667874 -0.374606593415912 0.0016 0.0005062500000000001 0 G027.77+00.82 0
27.8240 -0.3470 46.4000 0.0175 0.0158 106 3.6000 -0.5 -0.27563735581699905 0.9612616959383189 0.00030625000000000004 0.0002506944444444444 0 G027.82-00.34 0
27.8610 0.1090 77.6000 0.0242 0.0125 325 8.1000 -0.5 0.8191520442889916 -0.5735764363510464 0.0005840277777777777 0.00015625000000000003 0 G027.84+00.02 c
27.7840 0.0680 99.6000 0.0167 0.0083 214 7.0000 -0.5 -0.8290375725550418 -0.5591929034707467 0.0002777777777777778 6.944444444444444e-05 0 G027.84+00.02 a
27.9440 -0.4720 45.7000 0.0350 0.0133 188 3.1000 -0.5 -0.9902680687415703 -0.13917310096006552 0.0012250000000000002 0.0001777777777777778 0 G027.94-00.47 0
27.9420 -0.6740 2.0000 0.0133 0.0133 255 3.2000 -0.5 -0.25881904510252063 -0.9659258262890683 0.0001777777777777778 0.0001777777777777778 0 G027.94-00.67 0
27.9740 -0.4210 45.9000 0.0233 0.0167 230 3.5000 -0.5 -0.6427876096865396 -0.7660444431189779 0.0005444444444444443 0.0002777777777777778 0 G027.97-00.42 0
28.0450 -0.4640 45.5000 0.0183 0.0167 259 3.0000 -0.5 -0.19080899537654547 -0.9816271834476639 0.00033611111111111114 0.0002777777777777778 0 G028.04-00.46 0
28.0860 0.0710 75.8000 0.0183 0.0142 201 5.4000 -0.5 -0.9335804264972016 -0.35836794954530043 0.00033611111111111114 0.00020069444444444442 0 G028.08+00.07 0
28.0820 0.1440 78.1000 0.0458 0.0350 220 10.3000 -0.5 -0.7660444431189781 -0.6427876096865393 0.002100694444444444 0.0012250000000000002 0 G028.08+00.14 0
28.1000 -0.5150 46.1000 0.0317 0.0208 147 2.2000 -0.5 -0.8386705679454242 0.5446390350150269 0.0010027777777777776 0.00043402777777777775 0 G028.09-00.51 0
28.1050 -0.4530 46.2000 0.0258 0.0167 140 2.5000 -0.5 -0.7660444431189779 0.6427876096865395 0.0006673611111111111 0.0002777777777777778 0 G028.10-00.45 0
28.1850 -0.4060 76.9000 0.0350 0.0233 196 5.9000 -0.5 -0.9612616959383189 -0.275637355816999 0.0012250000000000002 0.0005444444444444443 0 G028.18-00.40 0
28.2350 -0.1910 79.6000 0.1017 0.0767 156 6.5000 -0.5 -0.913545457642601 0.40673664307580004 0.010336111111111108 0.005877777777777777 0 G028.23-00.19 0
28.2490 0.0670 78.4000 0.0233 0.0133 149 8.4000 -0.5 -0.8571673007021121 0.5150380749100544 0.0005444444444444443 0.0001777777777777778 0 G028.24+00.06 0
28.2840 -0.3410 47.4000 0.0400 0.0267 228 4.5000 -0.5 -0.6691306063588585 -0.743144825477394 0.0016 0.0007111111111111113 0 G028.28-00.34 0
28.3730 0.0760 78.6000 0.1000 0.0775 168 8.3000 -0.5 -0.9781476007338056 0.20791169081775973 0.010000000000000002 0.00600625 0 G028.37+00.07 0
