GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg DESIGNATION in_grs
17.0312 0.4274 24.246 0.0024 0.0024 0 3.367 -0.5 1.0 0.0 5.766668595679011e-06 5.766668595679011e-06 1 HIGALBM17.0312+0.4274 1
17.0659 0.3347 20.463 0.0022 0.0022 0 3.367 -0.5 1.0 0.0 4.640434027777777e-06 4.640434027777777e-06 1 HIGALBM17.0659+0.3347 1
17.0814 0.3957 22.957 0.0019 0.0019 0 3.367 -0.5 1.0 0.0 3.7056249999999994e-06 3.7056249999999994e-06 1 HIGALBM17.0814+0.3957 1
17.0871 0.3302 20.741 0.0009 0.0009 0 3.367 -0.5 1.0 0.0 7.631963734567902e-07 7.631963734567902e-07 1 HIGALBM17.0871+0.3302 1
17.0945 0.5245 23.515 0.0015 0.0015 0 3.367 -0.5 1.0 0.0 2.3810204475308642e-06 2.3810204475308642e-06 1 HIGALBM17.0945+0.5245 1
17.096 0.4114 22.703 0.0018 0.0018 0 3.367 -0.5 1.0 0.0 3.072229938271604e-06 3.072229938271604e-06 1 HIGALBM17.0960+0.4114 1
17.1068 0.4695 22.849 0.0033 0.0033 0 3.367 -0.5 1.0 0.0 1.058056327160494e-05 1.058056327160494e-05 1 HIGALBM17.1068+0.4695 1
17.1347 0.5616 23.299 0.003 0.003 0 3.367 -0.5 1.0 0.0 8.908566743827158e-06 8.908566743827158e-06 1 HIGALBM17.1347+0.5616 1
17.1555 -0.1653 43.126 0.0052 0.0052 0 3.367 -0.5 1.0 0.0 2.7112270447530867e-05 2.7112270447530867e-05 1 HIGALBM17.1555-0.1653 1
17.1609 0.6308 21.609 0.0044 0.0044 0 3.367 -0.5 1.0 0.0 1.927453896604938e-05 1.927453896604938e-05 1 HIGALBM17.1609+0.6308 1
17.1693 -0.3008 54.238 0.0035 0.0035 0 3.367 -0.5 1.0 0.0 1.2240279706790124e-05 1.2240279706790124e-05 1 HIGALBM17.1693-0.3008 1
17.1739 0.294 20.208 0.0033 0.0033 0 3.367 -0.5 1.0 0.0 1.1176020447530865e-05 1.1176020447530865e-05 1 HIGALBM17.1739+0.2940 1
17.1746 0.6832 20.981 0.0034 0.0034 0 3.367 -0.5 1.0 0.0 1.145634452160494e-05 1.145634452160494e-05 1 HIGALBM17.1746+0.6832 1
17.1881 0.7326 20.995 0.0029 0.0029 0 3.367 -0.5 1.0 0.0 8.305603780864198e-06 8.305603780864198e-06 1 HIGALBM17.1881+0.7326 1
17.2026 0.8439 22.584 0.0018 0.0018 0 3.367 -0.5 1.0 0.0 3.0625000000000003e-06 3.0625000000000003e-06 1 HIGALBM17.2026+0.8439 1
